Part Name,Amount
16x2 1602A LCD Display,1
17HS4401 Stepper motors,3
2.1mm DC Barrel Jack,1
220Ω Resistor,4
5mm to 8mm coupler,1
608 bearing,2
625 bearing,2
A4988 Motor Drivers,3
AIThinker ESP32-CAM,1
Aluminium rod,1
Arduino Mega 2560,1
Axial ball bearing 51116,1
CNC shield,1
Connecter Cables for the NEMA 17 Steppers,3
DC 12V-5A power supply,1
ESP32 - D,1
Gaine cable management,1
GT2 closed timing belt 640mm,2
KW11-3Z limit switches,4
KY-040 Rotary encoder,1
lead screw t8 nut (2mm pitch),1
lead screw t8x2,1
LM2596 Buck Converter,1
Nema 17 pulley (GT2),2
Potentiometer,1
Servo MG90S,1
Tapered roller bearing LM11949,1
Wago 221-415,2
